Община,Населено място,Адрес,lat,lon
Турция,Анкара,Анкара (Посолство),39.9333635,32.8597419
Турция,Анкара,"Анкара, общ. Пурсаклар, кв. Тепебашъ",40.038463,32.903356
Турция,Анкара,"Анкара, Синджан, Тандоган",39.9588076,32.5584854
Турция,Адана,Адана,36.9914194,35.3308285
Турция,Айдън ,Айдън ,37.8380162,27.8455601
Турция,Анталия,Анталия,36.8968908,30.7133233
Турция,Балъкесир,Балъкесир,39.65329759999999,27.8903423
Турция,Балъкесир,"Балъкесир, Aйвалък",39.65329759999999,27.8903423
Турция,Балъкесир,"Балъкесир, Бандърма",40.353707,27.971405
Турция,Биледжик,Биледжик,40.142573,29.97933
Турция,Бурса,Бурса (Консулска канцелария),40.1885281,29.0609636
Турция,"Бурса, Йенишехир","Бурса, Йенишехир",40.2867349,29.6499162
Турция,"Бурса, Караджабей","Бурса, Караджабей",40.216037,28.359
Турция,"Бурса, Мустафакемал паша","Бурса, Мустафакемал паша",40.1885281,29.0609636
Турция,"Бурса, Орхангази","Бурса, Орхангази",40.4392273,29.3714909
Турция,"Бурса, район Инегьол","Бурса, район Инегьол (Акхисар 1)",40.1147716,29.4767808
Турция,"Бурса, район Инегьол","Бурса, район Инегьол (Акхисар 2)",40.1147716,29.4767808
Турция,"Бурса, район Инегьол","Бурса, район Инегьол (Йенидже)",40.06343589999999,29.5107708
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм",40.1885281,29.0609636
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Деметевлер)",40.1885281,29.0609636
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Йешиляйла)",40.1885281,29.0609636
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Мескен)",40.1885281,29.0609636
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Миллет 1)",40.1885281,29.0609636
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Миллет 2)",40.1885281,29.0609636
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Саманлъ)",40.1885281,29.0609636
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Юнусемре 1)",40.1885281,29.0609636
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Юнусемре 2)",40.1885281,29.0609636
Турция,"Бурса, район Кестел","Бурса, район Кестел 1",40.1777762,29.3018011
Турция,"Бурса, район Кестел","Бурса, район Кестел 2",40.1777762,29.3018011
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Гьорюкле 1)",40.1885281,29.0609636
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Гьорюкле 2)",40.1885281,29.0609636
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Гьорюкле 3)",40.1885281,29.0609636
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Караман 1)",40.2155628,28.9944838
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Караман 2)",40.1885281,29.0609636
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Минареличавуш)",40.2472685,28.9378935
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Юзюнджюйъл)",40.1885281,29.0609636
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Ючевлер)",40.1885281,29.0609636
Турция,"Бурса, район Османгази","Бурса, район Османгази (Алтънова)",40.1794309,29.0227159
Турция,"Бурса, район Османгази","Бурса, район Османгази (Багралбашъ 1)",40.1885281,29.0609636
Турция,"Бурса, район Османгази","Бурса, район Османгази (Багралбашъ 2)",40.1885281,29.0609636
Турция,"Бурса, район Османгази","Бурса, район Османгази (Башаран)",40.2109955,29.0711866
