Община,Населено място,Адрес
Турция,Анкара,Анкара (Посолство)
Турция,Анкара,"Анкара, общ. Пурсаклар, кв. Тепебашъ"
Турция,Анкара,"Анкара, Синджан, Тандоган"
Турция,Адана,Адана
Турция,Айдън ,Айдън 
Турция,Анталия,Анталия
Турция,Балъкесир,Балъкесир
Турция,Балъкесир,"Балъкесир, Aйвалък"
Турция,Балъкесир,"Балъкесир, Бандърма"
Турция,Биледжик,Биледжик
Турция,Бурса,Бурса (Консулска канцелария)
Турция,"Бурса, Йенишехир","Бурса, Йенишехир"
Турция,"Бурса, Караджабей","Бурса, Караджабей"
Турция,"Бурса, Мустафакемал паша","Бурса, Мустафакемал паша"
Турция,"Бурса, Орхангази","Бурса, Орхангази"
Турция,"Бурса, район Инегьол","Бурса, район Инегьол (Акхисар 1)"
Турция,"Бурса, район Инегьол","Бурса, район Инегьол (Акхисар 2)"
Турция,"Бурса, район Инегьол","Бурса, район Инегьол (Йенидже)"
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм"
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Деметевлер)"
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Йешиляйла)"
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Мескен)"
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Миллет 1)"
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Миллет 2)"
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Саманлъ)"
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Юнусемре 1)"
Турция,"Бурса, район Йълдъръм","Бурса, район Йълдъръм (Юнусемре 2)"
Турция,"Бурса, район Кестел","Бурса, район Кестел 1"
Турция,"Бурса, район Кестел","Бурса, район Кестел 2"
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Гьорюкле 1)"
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Гьорюкле 2)"
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Гьорюкле 3)"
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Караман 1)"
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Караман 2)"
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Минареличавуш)"
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Юзюнджюйъл)"
Турция,"Бурса, район Нилюфер","Бурса, район Нилюфер (Ючевлер)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Алтънова)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Багралбашъ 1)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Багралбашъ 2)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Башаран)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Демирташ)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Демирташ, Юфтаде)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Истиклял)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Йенибаглар 1)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Йенибаглар 2)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Йенибаглар 3)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Оваакча 1)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Оваакча 2)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Фатих)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Юнусели 1)"
Турция,"Бурса, район Османгази","Бурса, район Османгази (Юнусели 2)"
