Населено място,Географска ширина,Географска дължина
"Атланта, Джорджия",33.9161265,-84.4673664
"Бостън, Масачузетс",42.3578929,-71.1842589
"Брумал, Пенсилвания",39.9809984,-75.3617444
Вашингтон,38.9123764,-77.0485528
"Далас, Тексас",32.9277612,-96.8966764
"Денвър, Колорадо",39.6912793,-104.9399263
"Дес Плейнс, Илинойс",42.0272463,-87.8935072
"Дес Плейнс, Илинойс",42.0381222,-87.8909337
"Лас Вегас, Невада",36.1083977,-115.2616087
Лос Анджелис,34.0480478,-118.4621745
"Маунт Проспект, Илинойс",42.042461,-87.946081
"Маями - Форт Лодърдейл, Флорида",26.169741,-80.0995719
Ню Йорк,40.7646082,-73.9675357
"Питсбърг, Пенсилвания",40.4017616,-79.9177905
"Сан Диего, Калифорния",32.8975779,-117.1246309
"Сейнт Питърсбърг, Флорида",27.8568544,-82.6493388
"Сиатъл, Вашингтон",47.6328031,-122.3573668
"Синсинати, Охайо",39.1839221,-84.4234886
"Сънивейл - Сан Хосе, Северна Калифорния",37.3499085,-122.0576435
"Финикс, Аризона",33.4873022,-112.0269787
"Хаянис, Масачузетс",41.6741177,-70.3098789
Чикаго,41.8959995,-87.6238055
"Шамбург, Илинойс",42.057095,-88.0466588
"Шарлът-Матюс, Северна Каролина",35.1447811,-80.7190205
