Населено място,Географска ширина,Географска дължина
Анкара,39.9089093,32.856212
Анкара,39.9089093,32.856212
Анкара,39.9089093,32.856212
Бурса,40.22572,29.0074326
Бурса,40.1909626,29.2061513
Бурса,40.2120196,29.095391
Бурса,40.216651,28.813332
Бурса,40.271982,29.0874719
Бурса,40.252489,28.975055
Гебзе,40.803716,29.4428498
Ергене,41.1831628,27.7732084
Ескишехир,39.7483095,30.5365882
Измир,38.4830637,27.2031404
Измир,38.372312,27.167921
Измир,38.3022577,27.1765655
Измир,38.2858455,27.1273976
Истанбул,41.0697295,29.0294329
Истанбул,41.0697295,29.0294329
Истанбул,40.9834466,28.7246866
Истанбул,41.0711268,28.8863075
Истанбул,40.9982125,28.8279766
Истанбул,41.0466565,28.6442666
Люлебургаз,41.399704,27.3638509
Одрин,41.6740632,26.5601271
Чорлу,41.1388383,27.8003755
Чорлу,41.155907,27.790736
Ялова,40.656423,29.2876268
