Община,Населено място,Адрес,lat,lon
Обединено кралство Великобритания и Северна Ирландия,Абърдийн,Абърдийн,57.1498891,-2.0937528
Обединено кралство Великобритания и Северна Ирландия,Арма,Арма,54.3502798,-6.652792
Обединено кралство Великобритания и Северна Ирландия,Базилдън,Базилдън,51.57608399999999,0.488736
Обединено кралство Великобритания и Северна Ирландия,Бедфорд,Бедфорд,52.1386603,-0.4667687
Обединено кралство Великобритания и Северна Ирландия,Бейзингстоук,Бейзингстоук,51.26628059999999,-1.0920721
Обединено кралство Великобритания и Северна Ирландия,Белфаст,Белфаст,54.59728500000001,-5.93012
Обединено кралство Великобритания и Северна Ирландия,Бирмингам ,Бирмингам ,52.4822694,-1.8900078
Обединено кралство Великобритания и Северна Ирландия,Бишъпс Стортфорд,Бишъпс Стортфорд,51.8721635,0.1536502
Обединено кралство Великобритания и Северна Ирландия,Богнър Реджис,Богнър Реджис,50.8125833,-0.6565915
Обединено кралство Великобритания и Северна Ирландия,Борнмът,Борнмът,50.7220101,-1.8667169
Обединено кралство Великобритания и Северна Ирландия,Бостън,Бостън,52.97893999999999,-0.026577
Обединено кралство Великобритания и Северна Ирландия,Брайтън,Брайтън,50.8233304,-0.1362767
Обединено кралство Великобритания и Северна Ирландия,Бристол ,Бристол ,51.454513,-2.58791
Обединено кралство Великобритания и Северна Ирландия,Бърнли/Флийтууд,Бърнли/Флийтууд,53.9104891,-3.0332569
Обединено кралство Великобритания и Северна Ирландия,Бъртън ъпон Тренд,Бъртън ъпон Тренд,55.378051,-3.435973
Обединено кралство Великобритания и Северна Ирландия,Гилфорд,Гилфорд,51.23622,-0.570409
Обединено кралство Великобритания и Северна Ирландия,Глазгоу,Глазгоу,55.86167039999999,-4.2583345
Обединено кралство Великобритания и Северна Ирландия,Глостър,Глостър,51.8642449,-2.238156
Обединено кралство Великобритания и Северна Ирландия,"Дартфорд/Грейс, Есекс","Дартфорд/Грейс, Есекс",51.76683689999999,0.4757762
Обединено кралство Великобритания и Северна Ирландия,Даунпатрик/Килкийл,Даунпатрик/Килкийл,54.0631154,-6.007003999999999
Обединено кралство Великобритания и Северна Ирландия,Дънди,Дънди,56.462018,-2.970721
Обединено кралство Великобритания и Северна Ирландия,Единбург,Единбург,55.953252,-3.188267
Обединено кралство Великобритания и Северна Ирландия,Екзитър,Екзитър,50.72603669999999,-3.5274889
Обединено кралство Великобритания и Северна Ирландия,Енискилън,Енискилън,54.34382429999999,-7.6315336
Обединено кралство Великобритания и Северна Ирландия,Ийстбърн,Ийстбърн,50.7725445,0.2634674
Обединено кралство Великобритания и Северна Ирландия,Имингъм,Имингъм,54.7877149,-6.4923145
Обединено кралство Великобритания и Северна Ирландия,Ипсуич,Ипсуич,52.0596687,1.1480867
Обединено кралство Великобритания и Северна Ирландия,Кардиф,Кардиф,51.483707,-3.1680962
Обединено кралство Великобритания и Северна Ирландия,Кеймбридж,Кеймбридж,52.1950788,0.1312729
Обединено кралство Великобритания и Северна Ирландия,"Кент, Кентърбъри","Кент, Кентърбъри",51.2770331,1.0837855
Обединено кралство Великобритания и Северна Ирландия,Ковънтри,Ковънтри,52.4128163,-1.5089521
Обединено кралство Великобритания и Северна Ирландия,Колчестър,Колчестър,51.895927,0.8918740000000001
Обединено кралство Великобритания и Северна Ирландия,Кроули,Кроули,51.1091401,-0.1872275
Обединено кралство Великобритания и Северна Ирландия,Крю,Крю,53.10040499999999,-2.4438209
Обединено кралство Великобритания и Северна Ирландия,Лестър,Лестър,52.6368778,-1.1397592
Обединено кралство Великобритания и Северна Ирландия,Ливърпул,Ливърпул,53.4083714,-2.9915726
Обединено кралство Великобритания и Северна Ирландия,Лийдс,Лийдс,53.8007554,-1.5490774
Обединено кралство Великобритания и Северна Ирландия,Линкълн,Линкълн,53.230688,-0.5405789999999999
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Баркинг 1),51.5300121,0.0366049
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Баркинг 2),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Баркинг 3),51.5304851,0.0384801
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон - (Барнет и Енфийлд),51.65229830000001,-0.0806995
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Бромли),51.4063204,0.0186804
Обединено кралство Великобритания и Северна Ирландия,Лондон,"Лондон (Гринуич , Уулич)",51.4933675,0.0098214
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Ийлинг),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Канада Уотър),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Крикълууд),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Кройдън),51.3769529,-0.0956895
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Лейтънстоун),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Норбъри),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Палмърс Грийн 1),51.6252658,-0.1253965
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Палмърс Грийн 2),51.6250346,-0.1256127
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Ричмънд ъпон Темз),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Сатън),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Стратфорд 1),51.5426313,-0.0010369
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Стратфорд 2),51.5426313,-0.0010369
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Сърбитън 1),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Сърбитън 2),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Тотнъм),51.60557480000001,-0.06816649999999999
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Уимбълдън 1),51.41833889999999,-0.2206288
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Уимбълдън 2),51.41833889999999,-0.2206288
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Уимбълдън 3),51.41833889999999,-0.2206288
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Уолтъмстоу),51.5901769,-0.0173437
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Уолтъмстоу/Саут Уудфорд),51.5901769,-0.0173437
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Ууд Грийн),51.5971722,-0.1098021
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Фелтъм),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Хароу),51.5805011,-0.3421192
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Хаунслоу),51.4704219,-0.3632311
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Посолство 1),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Посолство 2),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Посолство 3),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Посолство 4),51.5072178,-0.1275862
Обединено кралство Великобритания и Северна Ирландия,Лутън,Лутън,51.8786707,-0.4200255
Обединено кралство Великобритания и Северна Ирландия,Манчестър,Манчестър 1,53.4807593,-2.2426305
Обединено кралство Великобритания и Северна Ирландия,Манчестър,Манчестър 2,53.4807593,-2.2426305
