Община,Населено място,Адрес
Обединено кралство Великобритания и Северна Ирландия,Абърдийн,Абърдийн
Обединено кралство Великобритания и Северна Ирландия,Арма,Арма
Обединено кралство Великобритания и Северна Ирландия,Базилдън,Базилдън
Обединено кралство Великобритания и Северна Ирландия,Бедфорд,Бедфорд
Обединено кралство Великобритания и Северна Ирландия,Бейзингстоук,Бейзингстоук
Обединено кралство Великобритания и Северна Ирландия,Белфаст,Белфаст
Обединено кралство Великобритания и Северна Ирландия,Бирмингам ,Бирмингам 
Обединено кралство Великобритания и Северна Ирландия,Бишъпс Стортфорд,Бишъпс Стортфорд
Обединено кралство Великобритания и Северна Ирландия,Богнър Реджис,Богнър Реджис
Обединено кралство Великобритания и Северна Ирландия,Борнмът,Борнмът
Обединено кралство Великобритания и Северна Ирландия,Бостън,Бостън
Обединено кралство Великобритания и Северна Ирландия,Брайтън,Брайтън
Обединено кралство Великобритания и Северна Ирландия,Бристол ,Бристол 
Обединено кралство Великобритания и Северна Ирландия,Бърнли/Флийтууд,Бърнли/Флийтууд
Обединено кралство Великобритания и Северна Ирландия,Бъртън ъпон Тренд,Бъртън ъпон Тренд
Обединено кралство Великобритания и Северна Ирландия,Гилфорд,Гилфорд
Обединено кралство Великобритания и Северна Ирландия,Глазгоу,Глазгоу
Обединено кралство Великобритания и Северна Ирландия,Глостър,Глостър
Обединено кралство Великобритания и Северна Ирландия,"Дартфорд/Грейс, Есекс","Дартфорд/Грейс, Есекс"
Обединено кралство Великобритания и Северна Ирландия,Даунпатрик/Килкийл,Даунпатрик/Килкийл
Обединено кралство Великобритания и Северна Ирландия,Дънди,Дънди
Обединено кралство Великобритания и Северна Ирландия,Единбург,Единбург
Обединено кралство Великобритания и Северна Ирландия,Екзитър,Екзитър
Обединено кралство Великобритания и Северна Ирландия,Енискилън,Енискилън
Обединено кралство Великобритания и Северна Ирландия,Ийстбърн,Ийстбърн
Обединено кралство Великобритания и Северна Ирландия,Имингъм,Имингъм
Обединено кралство Великобритания и Северна Ирландия,Ипсуич,Ипсуич
Обединено кралство Великобритания и Северна Ирландия,Кардиф,Кардиф
Обединено кралство Великобритания и Северна Ирландия,Кеймбридж,Кеймбридж
Обединено кралство Великобритания и Северна Ирландия,"Кент, Кентърбъри","Кент, Кентърбъри"
Обединено кралство Великобритания и Северна Ирландия,Ковънтри,Ковънтри
Обединено кралство Великобритания и Северна Ирландия,Колчестър,Колчестър
Обединено кралство Великобритания и Северна Ирландия,Кроули,Кроули
Обединено кралство Великобритания и Северна Ирландия,Крю,Крю
Обединено кралство Великобритания и Северна Ирландия,Лестър,Лестър
Обединено кралство Великобритания и Северна Ирландия,Ливърпул,Ливърпул
Обединено кралство Великобритания и Северна Ирландия,Лийдс,Лийдс
Обединено кралство Великобритания и Северна Ирландия,Линкълн,Линкълн
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Баркинг 1)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Баркинг 2)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Баркинг 3)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон - (Барнет и Енфийлд)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Бромли)
Обединено кралство Великобритания и Северна Ирландия,Лондон,"Лондон (Гринуич , Уулич)"
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Ийлинг)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Канада Уотър)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Крикълууд)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Кройдън)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Лейтънстоун)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Норбъри)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Палмърс Грийн 1)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Палмърс Грийн 2)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Ричмънд ъпон Темз)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Сатън)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Стратфорд 1)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Стратфорд 2)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Сърбитън 1)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Сърбитън 2)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Тотнъм)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Уимбълдън 1)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Уимбълдън 2)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Уимбълдън 3)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Уолтъмстоу)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Уолтъмстоу/Саут Уудфорд)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Ууд Грийн)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Фелтъм)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Хароу)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Хаунслоу)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Посолство 1)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Посолство 2)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Посолство 3)
Обединено кралство Великобритания и Северна Ирландия,Лондон,Лондон (Посолство 4)
Обединено кралство Великобритания и Северна Ирландия,Лутън,Лутън
Обединено кралство Великобритания и Северна Ирландия,Манчестър,Манчестър 1
Обединено кралство Великобритания и Северна Ирландия,Манчестър,Манчестър 2
Обединено кралство Великобритания и Северна Ирландия,Мейдстоун,Мейдстоун
Обединено кралство Великобритания и Северна Ирландия,Милтън Кийнс,Милтън Кийнс
Обединено кралство Великобритания и Северна Ирландия,Норич,Норич
Обединено кралство Великобритания и Северна Ирландия,Нотингам,Нотингам
Обединено кралство Великобритания и Северна Ирландия,Нюкасъл,Нюкасъл
Обединено кралство Великобритания и Северна Ирландия,Озуъстри,Озуъстри
Обединено кралство Великобритания и Северна Ирландия,Оксфорд,Оксфорд
Обединено кралство Великобритания и Северна Ирландия,Остров Ман,"Остров Ман, Дъглас"
Обединено кралство Великобритания и Северна Ирландия,Питърбъро,Питърбъро
