Община,Населено място,Адрес,lat,lon
САЩ,"Флорида, Алтамонт Спрингс - Орландо","Алтамонт Спрингс - Орландо, Флорида",28.6611089,-81.3656242
САЩ,"Илинойс, Арлингтън Хайтс","Арлингтън Хайтс, Илинойс, Културен център “Магура“",41.4736452,-89.24925309999999
САЩ,"Джорджия, Атланта","Атланта, Джорджия",33.7501275,-84.3885209
САЩ,"Ню Джърси, Атлантик Сити, Нортфийлд","Атлантик Сити, Нортфийлд, Ню Джърси",39.3636917,-74.4291041
САЩ,"Масачузетс, Бостън",Бостън - Билрика,42.3555076,-71.0565364
САЩ,"Масачузетс, Бостън",Бостън - Нютън,42.3370413,-71.20922139999999
САЩ,"Пенсилвания, Брумал, Филаделфия","Брумал, Пенсилвания, Филаделфия",39.967933,-75.347048
САЩ,"Ню Йорк, Бъфало","Бъфало, Ню Йорк",42.88690039999999,-78.8788896
САЩ,"Окръг Колумбия, Вашингтон",Вашингтон (Посолство),46.2775138,-117.814262
САЩ,"Вирджиния, Вирджиния Бийч","Вирджиния Бийч, Вирджиния",36.8516437,-75.97921939999999
САЩ,"Тексас, Далас","Далас, Тексас",32.7766642,-96.79698789999999
САЩ,"Колорадо, Денвър","Денвър, Колорадо",39.7392358,-104.990251
САЩ,"Илинойс, Дес Плейнс","Дес Плейнс 1, магазин ""Малинчо"", Илинойс",42.026248,-87.8933634
САЩ,"Илинойс, Дес Плейнс","Дес Плейнс 2, Център ""Малката България"", Илинойс",42.0416537,-87.8876429
САЩ,"Илинойс, Дес Плейнс","Дес Плейнс 3, Център ""Малката България"", Илинойс",42.0416537,-87.8876429
САЩ,"Мичиган, Детройт","Детройт, Мичиган",42.32971819999999,-83.0424533
САЩ,"Флорида, Джаксънвил","Джаксънвил, Флорида",30.3297566,-81.6591529
САЩ,"Индиана, Индианаполис","Индианаполис, Индиана",39.76909,-86.158018
САЩ,"Калифорния, Конкорд","Конкорд, Калифорния",37.9817195,-122.025904
САЩ,"Невада, Лас Вегас","Лас Вегас, Невада ",36.171563,-115.1391009
САЩ,"Калифорния, Лос Анджелис",Лос Анджелис (Генерално консулство),34.0549076,-118.242643
САЩ,"Илинойс, Маунт Проспект","Маунт Проспект, Илинойс, Културен център ""Българика""",42.0664167,-87.9372908
САЩ,"Флорида, Маями - Форт Лодърдейл","Маями - Форт Лодърдейл, Флорида",26.1224386,-80.13731740000001
САЩ,"Уисконсин, Милуоки","Милуоки, Уисконсин  ",43.0410344,-87.9096783
САЩ,"Минесота, Минеаполис","Минеаполис, Минесота",44.977753,-93.2650108
САЩ,"Масачузетс, Нантъкет","Нантъкет, Масачузетс",41.2853251,-70.0988002
САЩ,"Тенеси, Нашвил","Нашвил, Тенеси",36.1626638,-86.7816016
САЩ,"Флорида, Нейпълс","Нейпълс, Флорида",26.1391777,-81.7955475
САЩ,"Кънектикът, Норуолк","Норуолк, Кънектикът",41.1138517,-73.4076534
САЩ,"Ню Джърси, Ню Брънсуик","Ню Брънсуик, Ню Джърси",40.4966567,-74.4442802
САЩ,"Ню Йорк, Ню Йорк",Ню Йорк (Генерално консулство),40.7646082,-73.9675357
САЩ,"Ню Йорк, Ню Йорк","Ню Йорк, Куинс",40.7432847,-73.8549518
САЩ,"Тексас, Остин","Остин, Тексас",30.267153,-97.7430608
САЩ,"Пенсилвания, Питсбърг","Питсбърг, Пенсилвания",40.4386612,-79.99723519999999
САЩ,"Орегон, Портланд","Портланд, Орегон",45.515232,-122.6783853
САЩ,"Вирджиния, Ричмънд","Ричмънд, Вирджиния",37.5407246,-77.4360481
САЩ,"Калифорния, Сакраменто - Кармайкъл","Сакраменто - Кармайкъл, Калифорния",38.617127,-121.3282843
САЩ,"Калифорния, Сан Диего - Оушънсайд","Сан Диего, Оушънсайд Калифорния",33.1976677,-117.3787563
САЩ,"Калифорния, Сан Франциско","Сан Франциско, Калифорния",37.7749295,-122.4194155
САЩ,"Мисури, Сейнт Луис","Сейнт Луис, Мисури",38.62742799999999,-90.1982439
САЩ,"Флорида, Сейнт Питърсбърг","Сейнт Питърсбърг, Флорида",27.7671271,-82.6384451
САЩ,"Вашингтон, Сиатъл - Едмъндс","Сиатъл - Едмъндс, Вашингтон",47.8111602,-122.3769102
САЩ,"Охайо, Синсинати","Синсинати, Охайо",39.1031182,-84.5120196
САЩ,"Юта, Солт Лейк Сити","Солт Лейк Сити, Юта",40.7605601,-111.8881397
САЩ,"Калифорния, Сънивейл - Сан Хосе","Сънивейл - Сан Хосе, Калифорния",37.36883,-122.0363496
САЩ,"Аризона, Финикс","Финикс, Аризона",33.4482948,-112.0725488
САЩ,"Масачузетс, Хаянис - Кейп Код","Хаянис - Кейп Код, Масачузетс",41.6524911,-70.2881124
САЩ,"Илинойс, Хинсдейл","Хинсдейл, Илинойс",41.8008642,-87.9370052
САЩ,"Тексас, Хюстън","Хюстън, Тексас",29.7600771,-95.37011079999999
САЩ,"Илинойс, Чикаго",Чикаго (Генерално консулство),41.88325,-87.6323879
САЩ,"Северна Каролина, Шарлът - Матюс","Шарлът - Матюс, Северна Каролина",35.2270768,-80.84089329999999
САЩ,"Илинойс, Шилер Парк","Шилер Парк, Илинойс",41.95586369999999,-87.8708965
САЩ,"Калифорния, Ървайн - Тъстин","Ървайн - Тъстин, Калифорния",33.7420005,-117.8236391
