Община,Населено място,Адрес
САЩ,"Флорида, Алтамонт Спрингс - Орландо","Алтамонт Спрингс - Орландо, Флорида"
САЩ,"Илинойс, Арлингтън Хайтс","Арлингтън Хайтс, Илинойс, Културен център “Магура“"
САЩ,"Джорджия, Атланта","Атланта, Джорджия"
САЩ,"Ню Джърси, Атлантик Сити, Нортфийлд","Атлантик Сити, Нортфийлд, Ню Джърси"
САЩ,"Масачузетс, Бостън",Бостън - Билрика
САЩ,"Масачузетс, Бостън",Бостън - Нютън
САЩ,"Пенсилвания, Брумал, Филаделфия","Брумал, Пенсилвания, Филаделфия"
САЩ,"Ню Йорк, Бъфало","Бъфало, Ню Йорк"
САЩ,"Окръг Колумбия, Вашингтон",Вашингтон (Посолство)
САЩ,"Вирджиния, Вирджиния Бийч","Вирджиния Бийч, Вирджиния"
САЩ,"Тексас, Далас","Далас, Тексас"
САЩ,"Колорадо, Денвър","Денвър, Колорадо"
САЩ,"Илинойс, Дес Плейнс","Дес Плейнс 1, магазин ""Малинчо"", Илинойс"
САЩ,"Илинойс, Дес Плейнс","Дес Плейнс 2, Център ""Малката България"", Илинойс"
САЩ,"Илинойс, Дес Плейнс","Дес Плейнс 3, Център ""Малката България"", Илинойс"
САЩ,"Мичиган, Детройт","Детройт, Мичиган"
САЩ,"Флорида, Джаксънвил","Джаксънвил, Флорида"
САЩ,"Индиана, Индианаполис","Индианаполис, Индиана"
САЩ,"Калифорния, Конкорд","Конкорд, Калифорния"
САЩ,"Невада, Лас Вегас","Лас Вегас, Невада "
САЩ,"Калифорния, Лос Анджелис",Лос Анджелис (Генерално консулство)
САЩ,"Илинойс, Маунт Проспект","Маунт Проспект, Илинойс, Културен център ""Българика"""
САЩ,"Флорида, Маями - Форт Лодърдейл","Маями - Форт Лодърдейл, Флорида"
САЩ,"Уисконсин, Милуоки","Милуоки, Уисконсин  "
САЩ,"Минесота, Минеаполис","Минеаполис, Минесота"
САЩ,"Масачузетс, Нантъкет","Нантъкет, Масачузетс"
САЩ,"Тенеси, Нашвил","Нашвил, Тенеси"
САЩ,"Флорида, Нейпълс","Нейпълс, Флорида"
САЩ,"Кънектикът, Норуолк","Норуолк, Кънектикът"
САЩ,"Ню Джърси, Ню Брънсуик","Ню Брънсуик, Ню Джърси"
САЩ,"Ню Йорк, Ню Йорк",Ню Йорк (Генерално консулство)
САЩ,"Ню Йорк, Ню Йорк","Ню Йорк, Куинс"
САЩ,"Тексас, Остин","Остин, Тексас"
САЩ,"Пенсилвания, Питсбърг","Питсбърг, Пенсилвания"
САЩ,"Орегон, Портланд","Портланд, Орегон"
САЩ,"Вирджиния, Ричмънд","Ричмънд, Вирджиния"
САЩ,"Калифорния, Сакраменто - Кармайкъл","Сакраменто - Кармайкъл, Калифорния"
САЩ,"Калифорния, Сан Диего - Оушънсайд","Сан Диего, Оушънсайд Калифорния"
САЩ,"Калифорния, Сан Франциско","Сан Франциско, Калифорния"
САЩ,"Мисури, Сейнт Луис","Сейнт Луис, Мисури"
САЩ,"Флорида, Сейнт Питърсбърг","Сейнт Питърсбърг, Флорида"
САЩ,"Вашингтон, Сиатъл - Едмъндс","Сиатъл - Едмъндс, Вашингтон"
САЩ,"Охайо, Синсинати","Синсинати, Охайо"
САЩ,"Юта, Солт Лейк Сити","Солт Лейк Сити, Юта"
САЩ,"Калифорния, Сънивейл - Сан Хосе","Сънивейл - Сан Хосе, Калифорния"
САЩ,"Аризона, Финикс","Финикс, Аризона"
САЩ,"Масачузетс, Хаянис - Кейп Код","Хаянис - Кейп Код, Масачузетс"
САЩ,"Илинойс, Хинсдейл","Хинсдейл, Илинойс"
САЩ,"Тексас, Хюстън","Хюстън, Тексас"
САЩ,"Илинойс, Чикаго",Чикаго (Генерално консулство)
САЩ,"Северна Каролина, Шарлът - Матюс","Шарлът - Матюс, Северна Каролина"
САЩ,"Илинойс, Шилер Парк","Шилер Парк, Илинойс"
САЩ,"Калифорния, Ървайн - Тъстин","Ървайн - Тъстин, Калифорния"
